2013-01 380009
2013-02 302355
2013-03 375540
2013-04 314779
2013-05 363241
2013-06 383424
2013-07 393227
2013-08 372482
2013-09 321717
2013-10 391227
2013-11 336015
2013-12 392930
2014-01 374540
2014-02 348301
2014-03 397716
2014-04 319672
2014-05 332554
2014-06 311465
2014-07 312840
2014-08 349601
2014-09 341591
2014-10 325366
2014-11 394589
2014-12 351215
2015-01 311567
2015-02 303453
2015-03 336089
2015-04 307282
2015-05 367334
2015-06 334941
2015-07 300316
2015-08 399633
2015-09 341104
2015-10 331891
2015-11 347731
2015-12 330407
2016-01 306606
2016-02 361233
2016-03 387195
2016-04 391743
2016-05 337237
2016-06 396411
2016-07 301310
2016-08 369123
2016-09 360748
2016-10 377328
2016-11 355435
2016-12 348670
2017-01 301532
2017-02 334828
2017-03 336461
2017-04 306178
2017-05 309567
2017-06 328355
